naics_code,factor_value,factor_unit,with_margins,without_margins,source_year,useeio_code
111110,1.037696058845421,kg CO2e/USD,1.037696058845421,1.037696058845421,2017,1111A0
111120,1.037696058845421,kg CO2e/USD,1.037696058845421,1.037696058845421,2017,1111A0
111130,2.47472847080366,kg CO2e/USD,2.47472847080366,2.47472847080366,2017,1111B0
111140,2.47472847080366,kg CO2e/USD,2.47472847080366,2.47472847080366,2017,1111B0
111150,2.47472847080366,kg CO2e/USD,2.47472847080366,2.47472847080366,2017,1111B0
111160,2.47472847080366,kg CO2e/USD,2.47472847080366,2.47472847080366,2017,1111B0
111191,2.47472847080366,kg CO2e/USD,2.47472847080366,2.47472847080366,2017,1111B0
111199,2.47472847080366,kg CO2e/USD,2.47472847080366,2.47472847080366,2017,1111B0
111211,0.9967177290965602,kg CO2e/USD,0.9967177290965602,0.9967177290965602,2017,111200
111219,0.9967177290965602,kg CO2e/USD,0.9967177290965602,0.9967177290965602,2017,111200
111310,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111320,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111331,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111332,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111333,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111334,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111335,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111336,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111339,0.7120813304056997,kg CO2e/USD,0.7120813304056997,0.7120813304056997,2017,111300
111411,0.9292804012297732,kg CO2e/USD,0.9292804012297732,0.9292804012297732,2017,111400
111419,0.9292804012297732,kg CO2e/USD,0.9292804012297732,0.9292804012297732,2017,111400
111421,0.9292804012297732,kg CO2e/USD,0.9292804012297732,0.9292804012297732,2017,111400
111422,0.9292804012297732,kg CO2e/USD,0.9292804012297732,0.9292804012297732,2017,111400
111910,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
111920,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
111930,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
111940,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
111991,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
111992,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
111998,1.333896797000158,kg CO2e/USD,1.333896797000158,1.333896797000158,2017,111900
112111,4.34998909233788,kg CO2e/USD,4.34998909233788,4.34998909233788,2017,1121A0
112112,4.34998909233788,kg CO2e/USD,4.34998909233788,4.34998909233788,2017,1121A0
112120,3.173411928449358,kg CO2e/USD,3.173411928449358,3.173411928449358,2017,112120
112210,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112310,1.338357657572241,kg CO2e/USD,1.338357657572241,1.338357657572241,2017,112300
112320,1.338357657572241,kg CO2e/USD,1.338357657572241,1.338357657572241,2017,112300
112330,1.338357657572241,kg CO2e/USD,1.338357657572241,1.338357657572241,2017,112300
112340,1.338357657572241,kg CO2e/USD,1.338357657572241,1.338357657572241,2017,112300
112390,1.338357657572241,kg CO2e/USD,1.338357657572241,1.338357657572241,2017,112300
112410,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112420,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112511,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112512,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112519,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112910,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
